id,date,user_displayname,user_followers_count,user_location,place_name,place_country,like_count,content,sentiment_mc,irony_mc,subjectivity_mc,sentiment,content_clean,sentiment_cloud
1453125238959529984,2021-10-26 22:23:49+00:00,José Rafael Vilar,671,Santa Cruz de la Sierra,,,0,"Dosis llegadas hasta ayer: 15.076.036 dosis (Sputnik V, Sinopharm, OxfordAstraZeneca, Pfizer, Janssen).
Días restantes para inmunización pauta completa con ratio actual: 242⬇️.
Meta del Presidente Arce para 01/12 (inmunidad de rebaño de 90% para población &gt;18 años): 6.462.385.",NONE,NONIRONIC,OBJECTIVE,neu,Dosis llegadas hasta ayer 15 076 036 dosis Sputnik V Sinopharm OxfordAstraZeneca Pfizer Janssen Días restantes para inmunización pauta completa con ratio actual 242 Meta del Presidente Arce para 01 12 inmunidad de rebaño de 90 para población gt 18 años 6 462 385,Neutral
1453061704103902976,2021-10-26 18:11:21+00:00,Dexanfetamina,1665,Santa Cruz de la Sierra,,,38,Me vacuné con la segunda de Sputnik y ya siento bajar el virus a mi cuerpo corriendo con dinamitas al ritmo de ahora si guerra civil,NEU,NONIRONIC,OBJECTIVE,neu,Me vacuné con la segunda de Sputnik y ya siento bajar el virus a mi cuerpo corriendo con dinamitas al ritmo de ahora si guerra civil,Neutral
1450468450384625920,2021-10-19 14:26:41+00:00,A Gonzalez Rioja,811,Bolivia,Bolivia,Bolivia,2,Nadie usa la vacuna #AstraZeneca como tercera dosis después de las #Sputnik o #Sinopharm https://t.co/hw17ut1rqT vía @ejutv,N,NONIRONIC,OBJECTIVE,neg,Nadie usa la vacuna AstraZeneca como tercera dosis después de las Sputnik o Sinopharm,Negative
1440850052121914880,2021-09-23 01:26:36+00:00,Gustavo Heredia,678,Aquí y ahora,Bolivia,Bolivia,2,"Sputnik + bajación, mala combinación.   Dice la @lvalenzuela2 🤦🏻😬🥲🤕",N,NONIRONIC,SUBJECTIVE,neg,Sputnik bajación mala combinación Dice la,Negative
1440745354081701888,2021-09-22 18:30:34+00:00,Luis Angulo,6,"Cochabamba, Bolivia",Bolivia,Bolivia,1,"@drhuerta hace días recién me vacunaron la 2da dosis de Sputnik V, ya tengo pasajes comprados para ir a usa el 20/nov. salió una noticia que desde ese mes USA pedirá a viajeros que estén vacunados, necesitaremos hacernos vacunar con otra aprobada por fda u OMS antes del VIAJAR?",NONE,NONIRONIC,OBJECTIVE,neu,hace días recién me vacunaron la 2da dosis de Sputnik V ya tengo pasajes comprados para ir a usa el 20 nov salió una noticia que desde ese mes USA pedirá a viajeros que estén vacunados necesitaremos hacernos vacunar con otra aprobada por fda u OMS antes del VIAJAR,Neutral
1440694355027661056,2021-09-22 15:07:55+00:00,Luis Angulo,6,"Cochabamba, Bolivia",Bolivia,Bolivia,0,"@drhuerta me vacunaron la 2da dosis de la Sputnik V a los 4 meses de la primera porque no habían dosis disponibles en Bolivia, los anticuerpos serán los mismos que a los 21 días? O serán menos? Gracias",N,NONIRONIC,SUBJECTIVE,neu,me vacunaron la 2da dosis de la Sputnik V a los 4 meses de la primera porque no habían dosis disponibles en Bolivia los anticuerpos serán los mismos que a los 21 días O serán menos Gracias,Negative
1440322234497655040,2021-09-21 14:29:15+00:00,john Paul Jones,290,América,Bolivia,Bolivia,2,"Bueno... finalmente en la fila para tomar la segunda dosis de la sputnik V. Tuve que esperar 120 días de todas formas, esperemos que cumpla su cometido...",NEU,NONIRONIC,SUBJECTIVE,neu,Bueno finalmente en la fila para tomar la segunda dosis de la sputnik V Tuve que esperar 120 días de todas formas esperemos que cumpla su cometido,Neutral
1440004902458117888,2021-09-20 17:28:17+00:00,Silvia Carolina García,6,,Bolivia,Bolivia,0,@Canal_BoliviaTV El Gobierno va hacer lo mismo con las vacunas sputnik pues cuando reciben  cualquier va una sa an en prensa el arribo de las mismas. Con las 2das dosis de la sputnik no han hecho propaga da ¡cuidado!!........,N,NONIRONIC,OBJECTIVE,neg,El Gobierno va hacer lo mismo con las vacunas sputnik pues cuando reciben cualquier va una sa an en prensa el arribo de las mismas Con las 2das dosis de la sputnik no han hecho propaga da cuidado,Negative
1436896839085826048,2021-09-12 03:37:57+00:00,A Gonzalez Rioja,811,Bolivia,Bolivia,Bolivia,0,Países del G20 reconocen la vacuna Sputnik V como el mejor fármaco para la prevención del coronavirus https://t.co/mY48ydZjzC,P,NONIRONIC,SUBJECTIVE,pos,Países del G20 reconocen la vacuna Sputnik V como el mejor fármaco para la prevención del coronavirus,Positive
1435271809453235968,2021-09-07 16:00:40+00:00,Casildo,3372,"La Llajta, Bolivia",Bolivia,Bolivia,0,Ya hay segunda dosis sputnik? Dóndes en la llajta?,NONE,NONIRONIC,OBJECTIVE,neu,Ya hay segunda dosis sputnik Dóndes en la llajta,Neutral
